
filename,text,textUsingPSM12
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_UAG_73-10-29_a_73-12-07_UAG,_fichas-134-.JPG"," 

y pY
Pa MAR y »
7 ¿A

l A ¿E e ! TF |
1 a id A, Pf o
A ! NÓ l
Ms y X a e
Ml PINO)
y

P
Pr —É.

hm

30-Nov=73.=El día 29 .cétMal,los enmascarados ue se
encontraban en la *orre de la Rectora de la UAG
desde el 19 de los corrientes,salieron de esa coa
studios,siendo recibidos por el Proc.Gral.de Just .del
Edosel cual est a acompañado del Director e Seg. úb
del Edo.y además del Lic. MANUEL MURRUETA URRUTIA dei
¡Cuales f eron subidos a una camioneta de la Pol.Jud.
Est. y trasladados a las oficinas de la FrOCe donde
¡rendieron declaración los individuos en cuestión cuyos
nombres son:
-_ TEODORO SANCHEZ RODRIGUEZ.
¿MARIA DE LA LUZ IBARRA SALGADO.
BENJAMIN LOPEZ LOPEZO

EE UN
>

   
   

e
","Ñ

É

a

“AR y)

Ke

O

A

7

Da

ES

hm

7

“30-Nov=73+w=El día 29

ctal,los enmascarados

¿ue se

encontraban en la Lorre de la Kector'a de la

.y

desde el 19 de los corrientes,salieron de esa

Casa de s

“studios,siendo recibidos por el Proc.

Grale.de Just.del

Edos.el cual est a

compañado cel Director

del Edo.y además del Lic. MANUEL

cuales

ES

le

pe

MURRUETA URRUTIA, los

eron subidos a una camioneta de la Pol.Jud,

Est. y trasladados a las oficinas de la Froc., donde

rendieron declaración los individuos en cuestión

cuyos

—nombres son:

- TEODORO SANCHEZ RODRIGUEZ.

TIA DE LA LUZ IBARRA SALGADO.

de =

E:

OPEZ LOPEZO

€

Saa

(TINE GODINEZe.

TO CERVANTES CASARRUBIAS.

GARCIA.

e

LDEZ.
"
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_Union_Campesina_Independiente,_fichas_UCI,_fichas-2-.JPG","  

     
 

CAMPEITTOS ib y ao Zxp=100=19=1=770=
e A E L-56 |

¿Abrile77.-EY RISTO REIS miembro de esta Univí ii!
'en 12, nnifostición organizada por los vendedor 5 ambulante;
dol “e:cado 28 de Octubre el 1/o.20tusladurante. su morcha—
¡axribaro: ¿ronto al Palacio de (bnosen la Cdede Pacblogdond
una comisi“n de la cual fue integrante fue rooi ida por. el i
rioeUraledo “bnos quien pidio al funci mario citado que .
active ol procedo de JO3B RUIZ HALTAZAR y JOAQUIZS HEROANIEA| E

me tenidos desde mayo do 1976, por su participación E

 

 

sa

     

pm "" o
inv siones de cocos on el Mpiosde San José Acateno, - aa
| A P

5-16) . 16 63]
29=kbril> TT.-B0éLomontos de osta Unió ,procedentos de la - E
fans” Norte de Puebla,que el día 27 se apostaron se

 

  
   
   

  

JS vas

os 8 e 30 reco as bl ho e poatátuoión E Las -

 

  

PA
","Dra

de

de

CAM

E je

LTOR EN

1d

ET

Uxp-100-19=1=77 ==

q

deb

O DN PUTA

4-1

1-56

<Abrile=77.-EY RISTO REIS miombro de onta Univá pertioipo

'en 12,

nmmnifostición organizada por los ye

e EA

dol “evcado 28 de Octubre el 1/o.20tusladurante. su

och

a

.

rribarol

¿ronto al Paliucio de Gbnosen la (

dedo Pusblezdona $! a

una comisi'n de la cual fue integrante fue rec

be lar

e

¿rioeGraledo “bnoe quien pidio al funcionario citado

que :

he

active el procedo de JO3E RUIZ E

AZAR y JOAQUIS

ME ar

me tenidos desde mayo de 1910 0D su participac

en.

inv :sionos

dle cabe 8 en el Mpiosde :

San José Acateno ¿Pue

Ap LO

H=165

L56

(29-Abri1=77.80Mónontos de osta Unió.

,Procodentos de la -

Siorra Norte de Puebla

¿que el día 27 se apos

y Ae

wi l

on en el y

Lo Les 39 e

as bl ho qa rt

os E Las -

Tn
"
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_PPUA_Fichas_PPUA,_Fichas-98-.JPG","Y

Pur pr

4 »
E a ?
A. Fogata E E Ma!

== Mom
A du 24

jóvenes, acompañadas de un a
c1eron una llamada telefonica

Wes |

¿ernavaca, Hor al número ;
eS a 2ror un automé

Duster, que posterior:

 
","Le

E

$

a

E

Le á

>

O

=

5

EA

2.

e

e

Y

de

pot

LAS

da 6

n

mm.

de

Regala *

l

Lo?

>

PD

hol

my

e.

y

pa

a

S ds

A

e

e

0) pr

3

fio Y

t

qe

;

]

O

]

t

le

4 *

daga

alles

ae

1

y”

JA

]

m

E

et o""

cis sel f1

l

e

eo

Y de

t

el

=

:

5

no

2.

-

066

4 ié£td

de +=

IN] A tel

5 Bue hn

mu Y

dd

(1

-.

dt,

Oe

H

z

li

4

y

a lg:

5% y

Wai Me de

:

1

>

a

1

mu” td

(3

rat

ANS a

j

a

Mas

A ho

A

(

O

a

E

t

i

a

al

]

J

€

de

]

Í

A

.D

VA O

pa

dur LA

de A

de 1143

de

ld le

ata

lu

E

""ld

ue el

>

2

ua 1

CA

]

Uan

hh

*

óvenes, acompana S 1

“MIE

IO |

e

ui

Me

Nros:

]

AU e

CAER

un

llamad

T E foni

mo

re,

he

W“EXTNnavaca

al nume r

Moros

A

o.

4

¡

ho

eS

ABE

aáron

un

au boñ 4

y. ""Y

¡IOV

11

j

l

cm.

FAd

Duster, que

DOS terior:

Pp

e

ed

ae

3

a

A

e A

a AS
"
drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_Detenidos_Desaparecidos_Morales_Lopez_Delia_Morales_Lopez_Delia-23-.JPG,"MORALES LOPEZ,Delia Exp+e11-235-75
H-118 L-32
-]]-

jer que usaba los (as) de Rita ó6 Dirin y ANDREAS
FOLIO 119 = - - -

sigue diciendo el que habla que el asalto a la-
Sucursal del Panco de Amecameca produjo un mi--
llón seiscientos mil pesos, de los cuales le --
entre CHANO al declarante la suma de $ 30,000.00
que distribuyó entre JUAN,MADALENA, FEDERICO, RI=-
TA 6 DIRIN,SOFIA 6 LA MORENA y ANDREA en Mayor -

FOLIO 120 A A A
cantidad a ésta última porque en ese momento --
era la única que quedaba como miembro de la Di-
rección política de la Brigada Roja;Que con mo-
tívo de las últimas detenciones se restructura”-

 
","MORALES LOPEZ,Delia

Expe11-235-75

H-118 L-32

1

jer que usaba los (as) de Rita 6 Dárin y ANDREAf

FOLIO 119

- - -

e mn a - - -=

sigue diciendo el que habla que el asalto a la-

Sucursal del

anco de Amecameca produjo un mi--

l11ón seiscientos mil pesos,

de los cuales le --

entre CHANO al declarante la suma de $ 30.000,00

que distribuyó entre JUAN,MADALENA, FEDERICO, RI=""

TA 6 DIRIN,SOFIA 6 LA MORENA y ANDREA en mayor -

FOLIO 120

- - - -

me e a A

cantidad a ésta última porque en ese momento --

era la única que quedaba como miembro de la Di-

rección política de la Brigada Roja;Que con mo-

tívo de las últimas detenciones se restructura-
"
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_UAG_76-11-16_a_77-03-19_UAG,_fichas-113-.JPG"," 

a NS 4 E pe :
VA 7 e HOY 16
o LX IS MAL 72

eS

ron a conocer la situación de la Univers idas
ES Sd REA EE SE, UA E a q S as ” E
inte la petición de aumento salarial y el sub
- 1 al
' ;

sidio restringido que tienen. Por lo que YOLAN
DAN GONZALEZ CALIXTO, :Secretaría de Acción So
cial de la Seeción Acapulco del STAISUAG. ,pre-
guntó sobre la posibilidad de que se pagaran
los sueldos con el aumento obtenido, lo más =—-
pronto posible, contes. tando PARRA MIJNAGOS, =-
fue la administración ya lo estaba previendo.
los dirigentes sindicales manifestaron que es-
tudiarían la propuestas EXP» -100-10-1-77
H-171 L-65
12.Feb».77»-El 9 actual continúa la huelga en-
las 62 Escuelas dependientes de esta Univer--

siidad,, decretada por el S.T.A.I-S.U.A.G.yrea-
lizándose las clases parcialmente.+.Por otra par
te 50 reunieron las dos artes en puc na. M3D-=

 
  
 
 

    
","/

JA

emo E

o

ÍX

yá

AA AL

—

Y

54

a

e

noce

de

r

ción

ta

4

la

Universida

t A

la

pet

(

pa

Or

aumento salarial y el

S

ub

$

”

;

UE

A C LA

S1

10

estring

par

]

tienene

ESE

lo

que

L

1

Y

A A 1 4 A Je E Y,

CALIXLI(

Secretaria

de

icción

S

Ls

N

,

cial (

e

la Seeción

Acapulco del

STAISUAG. ,pre-

guntó

sobre la posibilidad de que se pagaran

a

dos

con

a

1

lo más

los

Sue

aumento obtenido,

contes. tando PARRA MIJNNGOS , =-

pronto posible,

que

la

administración ya lo estaba previendo.

los dirigentes sindicales ma

nifestaron que es-

tudiarían la propuestas

EXP» -100-10-1-77

H-171

L-65

actual

continúa la huelga en-

12.Feb».77»-El 5

las 62 Escuelas depen

dientes de esta Univer--

1 SiTiña I.Do Mide Ge yrea-

siidad', decretada por e

trá par

lizándose las clases p

arcialmente».Por o

artes en

pugna, mani-.

_te,se Aa

EEMSEE
"
drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_Detenidos_Desaparecidos_Perez_Lopez_Martha_Perez_Lopez_Martha-21-.JPG," 
","$

» 4

e

SÓ

€

]

Ls

l

ls

Dd

2

)

]

O Y

word

J

dh 0 y

Ade

Sed

Li

be

e,

hh

+=

A 4

/Oo

¿

20

O

y!

A

vis

n

Ho

e NE

A

rr

f

É

T

q,

p

e. de

¡PA

L

E

La

SHA

e

A ema

E

!”

l

deca

' be

?

e

de 2

4

en

en

ri

a

a

de

tl

tu:

l

de 0

t

O

fe

r

J

Í

Aa

f

1

mal

pal

+ o

Eat

y”

4 de

E

«sr

y

1

T

]

L

him]

E

2

Fry

1

“FF

4

e

y

ww”

e

Gao

21

Y

dd

”

Mo

y

oy

e as

.

J

ed

:

3

%

»

1

> e

+

E

A

á

Á

de

¿

h

IA

£%

]

W

+

pe

£S%

t

DN

AAA ARA ARA
"
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_ACNR_militantes_Olea_Castaneyra_Rafel_Olea_Castaneyra_Rafael,_ACNR-19-.JPG","edicina

SOLIS MORALES 3 4
AVILA, del grupo de

as, e] PS
despues de ser secuetraadc

a quien liberaron en los

6d ¿DL LLA 3
enero de 1971 mediante un re

00 llegaron a $ domicilio la
En » Z BAILON llev:

| LA ds a nd E
¿Uds a DAN LS IN PM Lain Ls La

AAA An EAN A AAA AAA AAA AAA A A ET

 
","e

TY

dd

mod en

de

sb

]

54d a

l

il

AN

hue

]

5336 de

Ml

ue

o

l

dl

de

;

ho

A

1

ps LY A L

AE

hu

2

i

qE

“Y

: y

E (

OL

E

d

l

4

Y

Y

e

4d O)

al

11

he

OSpPL

(>

a

1

leo

e

en

bo.

n1

-

]

J

11

S!

Ld

+

mm.) s

1

1

e

pda

ke

Mi

Ned LOL

ta ee

ta

E hid

do ño

CG

hr sl

cl

on

de Le A

£

e]

É

LA

l

A

bl

der

ta

mo 6d dl

5d

]

ali

el

pre

- 1

ds

as

lia? 1

Ads

Cl1IOrL

At

a

A

hal ¡dls Nas

¡

ina

A

5d

e

e

l

¡A

«e

my

z

js

PP.

' U

E

IQ

>» a

€

it de

19

1

L

E

És

Le

> a Le

p

Y Ns dd alos: 1)

lien

A

de

7

dee

2

t

LA

ao rd

MORALES y

|

e

É E od

1

á

(

d

'

el

€

f

Ns

Cl

; narc

>

ed VILA,

e

¿

rup

huto

»

Mnespu

Mer

(

(

ñ

»

3SeÉz

secuetrado

DON

L

yA

Burd

Av

pe

É

ao

ida

)

U

to

ZN,

he du

i :

;

3 i berar on en le

AA

prime

ci dilo ee 3

a quien

gn

dh

¡e

]

de

ida. LE

Sol

te

K

¿

del

$4

e. o

SA

enero

71

mediante

»

'

E

l¿

1

£

29 arón

S

Hetilo

O O l l:

rof. DyN

MOR, Mu Es e

ES

nl

y

% E La Ú Ñ

llev

USO ot

ra

SANTON MENDE

AAA An EAN A AAA AAA AAA AAA A A ET
"
drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_Brigada_Campesina_de_Ajusticiamiento_BCA_Brigada_Campesina_de_Ajusticiamiento-79-.JPG," 
","AM

De,

hi

2

a

yA

a Y

O

RO

A

NS

La

N

y

AE

RE

AS

Ne

NN

SN

ds

AN

3

Y

JA

Y

a,

ge

AN

de

LS

e

eo

AGN

Y,

a

so at

A ar

sano

EU

mi

est

Á

po

Y

pr

cm

PY

1

5

Y

a

Ji

qe

z-

or

k

FS

í , >

451

IGN
"
"drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_FAR,_concentrado_general_FAR,_concentrado_general-157-.JPG","*Quep Ta eJed
---9819S S8J13usju Se

ofpaw od soropuejpuaze *o¡o9jAJas a3sa ap
¿0d eT ep sayied sezleno salz ser snb or uo *opstTqod

O
A
”5
4>
Y
w

t Ll 9P TedTo Tuna OFIBSTUODTE -—*SAUOTIBDUNUT SET Jod sepTpied
uOJa¡Ijnsenb opeqoxdwos ey as anb e *epe3p9|ToS epnAe er eputaq enb
-B18ed “JET TH 2uoZ *e/¿2 UT 93P 9JUBPUBWOD TB OT9Tjoun QJI[s eprteoly
Tg *OLBe3BeU1ed¿ SP Bpua 08H Á

seudo ser *osnieog “euro Dex el *FTRA Be)
-=-=*$019. USE SP SALOPeEIOM SOT Bied SILSAJA 9T183:92fToS Blue ,

“

ours
- SUE o e a “ARTOAR VIUAEGS NIJSVH *1d “Tedpofuna ejuepiseud
Te L% s Á313U9 BjporpauTe 0H -*SeTTS Sp eun epes e v0OZ ep UPZaL

-

e *e¡ouap;101

d e] Á esouJag e9sTA *olelleng aquesta *e*y9uep¡A0Jg

BA98nÑ *SBUSpieo OJezZ e] SefuoToy SET us SEP]NQ TI STD uoJanj Seufusr

Nu O No

 

5 »

 

 

rre
","PP

-

en

my

e

Edo

láminas fueron distribuídas en las Colonias Lázaro Cárdenas, Nueva

x

”

r

”

Vista

Hermosa

Y

La

rey""

C

dencia,

€

-

Providencia, Vicente Guerrero,

a

caQ

€

a

una de éllas.-

Hoy

almediod

J

f

a entrey

-

3

=

-

”

e

al

razón

de

200

=

EREDIA

MERCL

EY

a

campe-

Presidente Municipal,

Dr.

MARTIN

EY,

eS

sino

“

,

rara solicitarle víveres para los moradores de Pasa'eros,--

€

y

=

$

CaravalÍ, La Máquina, Caruso, Las Cruces

y

ac

enda

a

ParvagayO.

El

M311

tar

para-

Alcalde giró unoficio al Comandante de la 27/a. Zona

YE

€

a

n1e

Y

o?

que

brinde la ayuda

solicitada,

se

comp

unesufr

eron

pérdidas por las inundaciones.- FlComisario

Minte

o

ival

Ss

e

res

Palo

a

on

tr

Ss

tubo

e

Mpio. de Acapulco, informá que se reventar

cuatro

pulsadas de diámetro, een por los que se surte deagua potable ese-

tres cuartas part

occ

=D

de

>

>?

poblado,

con lo que las

sa E

po+lació

carecer

de este servicióa, atendiéndolos por medio de P

4na

“pa

s

mie

14

n+

ras

Sere---

para el daño.

1?

A
"
drive/MyDrive/Datos - Hackathon JusticIA/Evaluacion/Reto2/Ficheros_Represores_Martinez_Adame_Arturo_Martinez_Adame_Arturo-31-.JPG,"05/02/2088

.«-Bner .-0 BL día 30 de Dic,
” 7 Í í

ah LIC. MIGUEL ALEMAN VAIDEZ,
20 ¡Caspulco,Gro. en donde se
ALEMAN,

a

Cena en Honor del lyc,

Cor+ sion del 8:m,

del Edo, de Gro. formdada
encabezada por GlIILDARDO
dl día » del actual se

proposicion que le ha si:

á.

ge f ry r=
3 * ni E “OE 9 El a la
.

on con aunento de salarios

ÓN

 
","T

[ u

Art

”

al

==

-- ]

El

05/02/2088

$

Ls

O

»

- -H n e

mo 1)

1

úl

11

ql

y a

AN

d 18

1

3( de Dic.

Y

Y

1

an LIC,

le

1 GU

AI

Lal

ae

y

j de 3 £ 9

Hotel

Presi

3

¡a!

cm.

Te

dá

ulCcoyGTro. en

onde

NG

le

ac

un

X

?

dl

Í

¿

”

4

4

|

,

La

>

8]

F

1

nor del ly4c,

LEMNN,

e Ln

EXp=-100=]

e

H

O

an.

]

de

..

.

(13

n

E.

62

Ola”

El día

AÑ

í

LC

mo

cu

gr,

C

C

y

síon del

h...

na

de

+ |

£

Ne PV

del

md

EdO,

de

Gro

fo rmá ad 3

Ml

n

]

s

A 1 E

seeciones

1

é

I

» 7 1 E 7

)

(

>

G1LOA]!

des ds

4

due

e

el

L

del

actual

58

esolve

Ultime

A

1

r

le

na

»

Se

LO (

id

[28

nm

relaci

á.

oposicion

que

presen

N

a 3

¿€

mm)

z

,

ios

e

ni

;

IÓS

eleme

ntos

La e

O

con

unento

Lar

aa

mn

PP

kN

E
"
